SubID,Group,ProbeNo,Block,State,Distraction,Intention,Vigilance,Miss,FA,HitRT
A044,A,1,1,2,3,3,2,0,0,0.369975315199958
A044,A,2,1,2,3,3,3,0,0.5,0.422230271732106
A044,A,3,1,1,NaN,2,3,0,0.5,0.314120451609294
A044,A,4,1,2,2,2,3,0.0555555555555556,1,0.317298286101397
A044,A,5,1,1,NaN,2,3,0,0.5,0.372145308388604
A044,A,6,1,2,1,2,3,0,0.5,0.271356910467148
A044,A,7,1,2,3,2,3,0,0.5,0.316148239023545
A044,A,8,1,2,3,3,3,0,0.5,0.255494236946106
A044,A,9,1,2,3,3,3,0.0555555555555556,0.5,0.29445237271926
A044,A,10,1,2,2,3,3,0.0555555555555556,1,0.284441274755141
A044,A,1,2,2,3,3,3,0,1,0.288320597480325
A044,A,2,2,4,NaN,2,3,0,1,0.272365733981133
A044,A,3,2,1,NaN,2,3,0,0,0.303163682713228
A044,A,4,2,2,3,3,3,0,1,0.304773608843486
A044,A,5,2,2,3,3,3,0,1,0.260651601685418
A044,A,6,2,1,NaN,1,2,0,0.5,0.283845888243781
A044,A,7,2,2,3,2,2,0,1,0.272273203905891
A044,A,8,2,2,2,4,2,0,1,0.296190706888835
A044,A,9,2,1,NaN,2,2,0,1,0.26982256770134
A044,A,10,2,1,NaN,1,2,0,0,0.315217882394791
A044,A,1,3,2,3,3,2,0,1,0.33569579965928
A044,A,2,3,2,3,4,2,0,0.5,0.366879887051053
A044,A,3,3,2,2,3,3,0,0.5,0.296509265899658
A044,A,4,3,1,NaN,2,2,0,0.5,0.280934586244471
A044,A,5,3,2,3,2,3,0.0555555555555556,0,0.279384672641754
A044,A,6,3,1,NaN,1,3,0.0555555555555556,0.5,0.337626990150003
A044,A,7,3,2,2,4,3,0,0.5,0.418630043665568
A044,A,8,3,2,3,4,3,0,1,0.301612727782306
A044,A,9,3,2,1,4,3,0.0555555555555556,0,0.29399317853591
A044,A,10,3,2,2,4,3,0,0.5,0.425280928611755
A044,A,1,4,2,2,4,3,0,0.5,0.314041323131985
A044,A,2,4,3,NaN,4,4,0.0555555555555556,0.5,0.356590074651382
A044,A,3,4,3,NaN,3,4,0,0.5,0.34215341673957
A044,A,4,4,4,NaN,3,4,0,0,0.385461741023593
A044,A,5,4,2,2,3,4,0,0,0.412721713383992
A044,A,6,4,2,2,4,4,0.0555555555555556,1,0.395223645602956
A044,A,7,4,1,NaN,1,4,0,0.5,0.348142385482788
A044,A,8,4,4,NaN,3,4,0,0,0.396531568633186
A044,A,9,4,2,2,4,4,0,1,0.418121983023251
A044,A,10,4,1,NaN,2,2,0,1,0.407067551332362
