SubID,Group,ProbeNo,Block,State,Distraction,Intention,Vigilance,Miss,FA,HitRT,Misses,RT
C033,C,1,1,1,NaN,1,2,NaN,0,NaN,0,0.371620721287198
C033,C,2,1,2,2,2,2,NaN,0.5,NaN,0,0.468371536996629
C033,C,3,1,1,NaN,2,1,NaN,0.5,NaN,0,0.382789836989509
C033,C,4,1,2,3,2,2,NaN,0.5,NaN,0,0.441763096385532
C033,C,5,1,2,1,2,2,NaN,0,NaN,0,0.542629824744331
C033,C,6,1,2,3,2,2,NaN,0.5,NaN,0,0.351490868462457
C033,C,7,1,1,NaN,1,2,NaN,0,NaN,0,0.473314139578078
C033,C,8,1,2,3,2,2,NaN,0.5,NaN,0,0.330821699566311
C033,C,9,1,2,1,3,2,NaN,0,NaN,0,0.388178547223409
C033,C,10,1,2,3,3,2,NaN,1,NaN,0.0555555555555556,0.304337725043297
C033,C,1,2,2,3,2,2,NaN,1,NaN,0,0.357008008395924
C033,C,2,2,1,NaN,1,2,NaN,1,NaN,0,0.352823047076955
C033,C,3,2,2,3,2,2,NaN,0,NaN,0,0.389277100563049
C033,C,4,2,1,NaN,2,2,NaN,0.5,NaN,0,0.345813300874498
C033,C,5,2,1,NaN,1,1,NaN,0,NaN,0,0.421487331390381
C033,C,6,2,4,NaN,3,2,NaN,1,NaN,0,0.282289716932509
C033,C,7,2,1,NaN,1,1,NaN,0,NaN,0,0.714644206894769
C033,C,8,2,2,3,2,2,NaN,0,NaN,0,0.369223104582893
C033,C,9,2,1,NaN,1,2,NaN,0,NaN,0,0.569920672310723
C033,C,10,2,2,3,2,2,NaN,0,NaN,0,0.53095547358195
C033,C,1,3,1,NaN,2,2,NaN,0,NaN,0,0.567504048347473
C033,C,2,3,2,3,3,2,NaN,0.5,NaN,0,0.416443520122104
C033,C,3,3,2,3,3,2,NaN,0.5,NaN,0,0.323393927680122
C033,C,4,3,2,1,3,2,NaN,1,NaN,0,0.263013482093811
C033,C,5,3,2,3,2,3,NaN,0.5,NaN,0,0.276846781373024
C033,C,6,3,2,2,2,3,NaN,0.5,NaN,0,0.376044472058614
C033,C,7,3,1,NaN,1,2,NaN,0,NaN,0,0.329123457272847
C033,C,8,3,2,3,2,2,NaN,0.5,NaN,0,0.35355190669789
C033,C,9,3,2,2,3,2,NaN,0.5,NaN,0,0.616855912738376
C033,C,10,3,1,NaN,2,2,NaN,0,NaN,0,0.431627525223626
C033,C,1,4,1,NaN,1,2,NaN,0,NaN,0,0.544271005524529
C033,C,2,4,1,NaN,2,2,NaN,0,NaN,0,0.639800204171075
C033,C,3,4,2,3,2,2,NaN,1,NaN,0,0.357323659790887
C033,C,4,4,2,2,1,2,NaN,0,NaN,0,0.63396954536438
C033,C,5,4,4,NaN,3,2,NaN,0,NaN,0,0.392531447940403
C033,C,6,4,1,NaN,1,3,NaN,0,NaN,0,0.493537425994873
C033,C,7,4,2,1,2,2,NaN,0,NaN,0,0.466277515186983
C033,C,8,4,2,2,2,2,NaN,0.5,NaN,0.111111111111111,0.43068494115557
C033,C,9,4,2,3,2,2,NaN,0.5,NaN,0,0.33410726653205
C033,C,10,4,1,NaN,2,1,NaN,0.5,NaN,0,0.366926375557395
